Date,Open,High,Low,Close,Adj Close,Volume
2021-04-29,220.5,221.0,217.0,217.5,213.06008911132812,104100
2021-05-03,217.0,218.5,212.0,213.5,209.14173889160156,207015
2021-05-04,212.5,214.5,210.5,211.0,206.69277954101562,126123
2021-05-05,211.5,212.5,210.5,210.5,206.20298767089844,68051
2021-05-06,213.5,213.5,211.0,211.0,206.69277954101562,80050
2021-05-07,212.0,218.0,212.0,217.0,212.5703125,115002
2021-05-10,216.0,217.0,214.5,216.0,211.59071350097656,49000
2021-05-11,214.5,214.5,203.0,204.0,199.83567810058594,294121
2021-05-12,200.0,200.0,184.0,184.0,180.2439422607422,490008
2021-05-13,178.5,185.5,171.5,182.0,178.28477478027344,214132
2021-05-14,186.0,193.5,186.0,189.5,185.6316680908203,226148
2021-05-17,174.5,208.0,174.5,208.0,203.7540283203125,651241
2021-05-18,205.0,210.0,204.5,209.5,205.223388671875,162110
2021-05-19,207.0,215.0,207.0,209.5,205.223388671875,99048
2021-05-20,207.5,209.0,207.0,208.0,203.7540283203125,47361
2021-05-21,208.0,214.0,208.0,212.5,208.1621551513672,110200
2021-05-24,208.5,216.0,208.5,215.0,210.6111297607422,170010
2021-05-25,217.0,217.0,213.5,216.0,211.59071350097656,161026
2021-05-26,216.0,216.5,213.5,215.0,210.6111297607422,112036
2021-05-27,214.0,214.0,205.0,205.0,200.8152618408203,692119
2021-05-28,207.5,207.5,198.0,201.5,197.38670349121094,380000
2021-05-31,205.5,205.5,202.0,202.0,197.8765106201172,90031
2021-06-01,204.5,215.0,204.5,213.5,209.14173889160156,183010
2021-06-02,210.0,213.0,208.5,212.0,207.67237854003906,78107
2021-06-03,210.5,215.0,210.0,214.5,210.12132263183594,93036
2021-06-04,214.5,218.5,214.5,216.5,212.08050537109375,166010
2021-06-07,217.0,220.0,215.0,217.0,212.5703125,61420
2021-06-08,217.0,217.0,214.5,214.5,210.12132263183594,30000
2021-06-09,213.5,213.5,211.5,211.5,207.1825714111328,31001
2021-06-10,212.0,212.5,211.5,212.5,208.1621551513672,9006
2021-06-11,214.0,214.0,210.5,210.5,206.20298767089844,26020
2021-06-15,212.5,215.5,209.5,209.5,205.223388671875,77000
2021-06-16,209.5,212.5,209.0,209.0,204.73361206054688,42080
2021-06-17,209.0,210.0,203.0,208.0,203.7540283203125,93600
2021-06-18,208.0,217.5,208.0,212.5,208.1621551513672,163051
2021-06-21,214.0,215.5,211.0,213.0,208.65196228027344,64014
2021-06-22,214.0,215.5,210.5,210.5,206.20298767089844,68025
2021-06-23,211.0,217.5,211.0,214.0,209.63153076171875,140100
2021-06-24,214.5,215.0,212.5,212.5,208.1621551513672,29420
2021-06-25,217.5,217.5,214.0,214.5,210.12132263183594,37302
2021-06-28,212.5,216.0,212.0,212.0,207.67237854003906,38100
2021-06-29,212.5,212.5,209.5,209.5,205.223388671875,63002
2021-06-30,214.5,214.5,208.0,208.5,204.2438201904297,73001
